arrondissement,genre,espece,hauteur,geo_point_2d
20,Melia,azedarach,8,"48.86423357314721, 2.4090071487830946"
10,Cornus,mas,4,"48.87120976886723, 2.3503300864642562"
12,Platanus,x hispanica,20,"48.83725399270623, 2.380774880804539"
7,Platanus,x hispanica,12,"48.855285601188555, 2.29982334764448"
16,Prunus,persica,3,"48.851493395968554, 2.271523237976087"
15,Pinus,nigra subsp. nigra,0,"48.828449303715, 2.2702694812558466"
12,Larix,x marschlinsii,0,"48.82119999367821, 2.4573975724361046"
12,Quercus,sp.,0,"48.82310914959978, 2.4569849824133816"
18,Alnus,glutinosa,4,"48.89627054527444, 2.3647980483758477"
18,Styphnolobium,japonicum,6,"48.90053773728814, 2.3598337547484562"
13,Tilia,cordata,10,"48.81780019542085, 2.3590261279032694"
11,Platanus,x hispanica,10,"48.85944255525827, 2.37753540790396"
13,Platanus,x hispanica,14,"48.83060768369128, 2.3686556373902485"
7,Ulmus,sp.,6,"48.852353869184974, 2.308325480451564"
10,Corylus,colurna,10,"48.871732371065015, 2.3655395679413487"
8,Aesculus,hippocastanum,13,"48.867244007978364, 2.3165518072131603"
8,Magnolia,kobus,3,"48.87893148067506, 2.308556241334469"
12,Acer,platanoides,6,"48.83641086748107, 2.4415525985011284"
12,Acer,platanoides,18,"48.83349265919818, 2.4553770554898033"
12,Quercus,ilex,5,"48.84246613818798, 2.3945329249969527"
9,Celtis,australis,10,"48.884031977295024, 2.3313764900886316"
11,Platanus,x hispanica,6,"48.866746197847554, 2.369087582906246"
16,Platanus,x hispanica,22,"48.86410165911364, 2.288140774395916"
14,Acer,platanoides,5,"48.83813933265753, 2.3312273978812015"
1,Aesculus,hippocastanum,10,"48.86193641752361, 2.3448944102573757"
20,Platanus,x hispanica,18,"48.87342212010836, 2.3988798511568095"
11,Paulownia,tomentosa,12,"48.85684351116952, 2.3932518626809265"
12,Acer,campestre,5,"48.83220240390704, 2.402223126949932"
18,Aesculus,hippocastanum,7,"48.90091697456132, 2.3500258950563557"
9,Platanus,x hispanica,10,"48.882612459231254, 2.343188904931105"
11,Fraxinus,excelsior,15,"48.86682683720576, 2.373509197556817"
7,Aesculus,x carnea,10,"48.85519163246709, 2.3025916378716706"
12,Platanus,x hispanica,15,"48.84710175360673, 2.3852434188418097"
13,Toona,sinensis,5,"48.83755444692907, 2.3547262971972116"
6,Populus,x canadensis,5,"48.858344550132514, 2.3341412873210023"
15,Corylus,colurna,6,"48.84623455619127, 2.3070942061574673"
14,Tilia,x flavescens,6,"48.83546240217488, 2.331835609509912"
19,Pinus,nigra subsp. nigra,10,"48.88219576873265, 2.4000865417880815"
15,Platanus,x hispanica,15,"48.82814084645516, 2.2924528855355795"
17,Toona,sinensis,10,"48.88675639926681, 2.3046154864359196"
4,Platanus,x hispanica,15,"48.85192418390319, 2.3647601427453644"
5,Platanus,x hispanica,14,"48.838168546056274, 2.343358490758063"
12,Platanus,x hispanica,20,"48.84226282820191, 2.4389441469214392"
19,Gleditsia,triacanthos,5,"48.875466871768076, 2.3970782994087614"
4,Populus,n. sp.,20,"48.85207040660393, 2.358371294961545"
12,Robinia,pseudoacacia,0,"48.83826143428197, 2.406466584937064"
13,Prunus,padus,5,"48.82195825199815, 2.373722759092283"
20,Platanus,x hispanica,17,"48.849043423036505, 2.414657758138429"
20,Carpinus,betulus,8,"48.85291389559305, 2.412402960181077"
12,Platanus,x hispanica,15,"48.84324282448892, 2.391546149462831"
16,Tilia,cordata,3,"48.8382562525565, 2.2535196531251613"
12,Morus,sp.,5,"48.83137285388779, 2.4012483962114293"
13,Pyrus,calleryana,7,"48.81874752007124, 2.358263027832718"
6,Aesculus,hippocastanum,10,"48.84982055019968, 2.332844172313058"
19,Pinus,nigra subsp. nigra,15,"48.88168826289974, 2.400349202253108"
15,Tilia,platyphyllos,10,"48.83221460167274, 2.2695490433945085"
14,Tilia,x euchlora,10,"48.839836779402205, 2.327559328551248"
19,Platanus,x hispanica,8,"48.87833671720596, 2.386805025916716"
7,Tilia,tomentosa,10,"48.85898919779322, 2.314480203238984"
18,Platanus,x hispanica,11,"48.89665894624534, 2.3365946531573534"
8,Magnolia,grandiflora,6,"48.86649937610707, 2.31437302474995"
20,Eriobotrya,japonica,3,"48.85913402110783, 2.407908480979937"
12,Quercus,robur,5,"48.84274380384489, 2.3951589895000494"
19,Robinia,pseudoacacia,12,"48.88006326364541, 2.3760536972221318"
7,Tilia,tomentosa,13,"48.86081259426317, 2.3122731246976875"
9,Platanus,x hispanica,22,"48.881680241957355, 2.3447848456500586"
18,Platanus,x hispanica,20,"48.884493321955325, 2.338740489771618"
13,Robinia,pseudoacacia,8,"48.81684279456404, 2.356000741165678"
16,Tilia,x europaea,14,"48.852864409607506, 2.270867045248091"
15,Prunus,sp.,0,"48.841506917336346, 2.2756608082597176"
17,Liquidambar,styraciflua,3,"48.89893258119056, 2.3202102143977372"
17,Zelkova,serrata,5,"48.88551881014037, 2.3034395177315234"
8,Platanus,x hispanica,5,"48.87656554551224, 2.3181746440742583"
19,Corylus,colurna,10,"48.882249785529744, 2.3953682677415493"
7,Platanus,x hispanica,14,"48.85895327332671, 2.2967396928563573"
12,Platanus,x hispanica,5,"48.84506558720822, 2.4021324018934127"
20,Non spécifié,sp.,3,"48.87625065749328, 2.4107106442982635"
12,Quercus,frainetto,5,"48.83267845401633, 2.3848650062582553"
4,Pyrus,communis,2,"48.85615408531363, 2.3560839187826104"
15,Aesculus,hippocastanum,11,"48.839512212399875, 2.279846466406057"
8,Platanus,x hispanica,14,"48.8720110661482, 2.301399976136646"
12,Platanus,x hispanica,15,"48.84689096684495, 2.382185940121243"
13,Carpinus,betulus,11,"48.83236683387515, 2.3782549742246104"
17,Acer,campestre,7,"48.89895304831283, 2.3246139620285744"
16,Platanus,x hispanica,10,"48.86757207431456, 2.295211125802812"
19,Styphnolobium,japonicum,12,"48.88955985961212, 2.3754632299864626"
19,Fraxinus,excelsior,16,"48.87819163782447, 2.378556737318414"
20,Pterocarya,fraxinifolia,20,"48.86517786299974, 2.4098002040900313"
1,Tilia,x europaea,10,"48.862087569470425, 2.343767254984385"
13,Cedrus,atlantica,15,"48.821207733088784, 2.354455619284682"
20,Amelanchier,x lamarckii,2,"48.862490584946585, 2.406711195195864"
13,Pinus,nigra,10,"48.822777448536904, 2.3649406375042195"
14,Tilia,cordata,8,"48.84039568561217, 2.3258906266190085"
20,Paulownia,tomentosa,5,"48.858505200277, 2.4139363031997125"
18,Ailanthus,altissima,12,"48.884093003768314, 2.3535966284902288"
8,Aesculus,hippocastanum,25,"48.88038254491532, 2.3106968598381066"
12,Corylus,colurna,6,"48.82191201292998, 2.453871950677594"
12,Pinus,nigra,7,"48.82783070247854, 2.4088429285604445"
16,Pinus,sylvestris,2,"48.85589506055334, 2.283894701247343"
15,Aesculus,hippocastanum,10,"48.842722138068694, 2.3129132871015026"
20,Aesculus,x carnea,8,"48.87364131666571, 2.3901361573958795"
20,Acer,pseudoplatanus,10,"48.86196000981157, 2.3932081856441783"
13,Acer,saccharinum,8,"48.82033234980171, 2.3518691430842247"
16,Populus,x canescens,10,"48.848255868954624, 2.2551549885245707"
16,Platanus,x hispanica,16,"48.865959735506955, 2.2764204918248585"
7,Ulmus,sp.,5,"48.85378032632087, 2.3097172128266195"
12,Betula,utilis subsp. albosinensis,2,"48.822096820120066, 2.4567968577070913"
13,Sorbus,aucuparia,4,"48.82888092768477, 2.379034742128101"
16,Aesculus,hippocastanum,18,"48.86109127700811, 2.2678255956965416"
20,Prunus,avium,5,"48.84913850472963, 2.4157139732429638"
15,Fagus,sylvatica,0,"48.84199400303596, 2.273886380340266"
13,Populus,x canescens,3,"48.818147587748335, 2.3527399129028987"
20,Tilia,tomentosa,6,"48.874719177626176, 2.4054930353934583"
7,Platanus,x hispanica,25,"48.86171492196571, 2.3199504101278587"
17,Styphnolobium,japonicum,14,"48.88883141176525, 2.317948398906639"
15,Pinus,sp.,15,"48.82810051211767, 2.296636329642027"
20,Acer,pseudoplatanus,12,"48.859071389604125, 2.3962276688491095"
19,Tilia,cordata,14,"48.87656315962823, 2.3943409546952705"
19,Celtis,australis,10,"48.87941941689332, 2.409749489361851"
14,Styphnolobium,japonicum,5,"48.829096488151414, 2.3233863444374054"
19,Taxus,baccata,16,"48.87934761314347, 2.3793141043804256"
3,Sorbus,aucuparia,7,"48.861623099084184, 2.3551943018830195"
12,Castanea,sativa,5,"48.83691301179452, 2.4682965835794515"
17,Platanus,x hispanica,20,"48.88358431596514, 2.2866609166305554"
8,Acer,platanoides,18,"48.878967064352786, 2.307769508360701"
17,Prunus,serrulata,6,"48.89285287590896, 2.3138413448724147"
4,Quercus,phillyreoides,0,"48.85712662500209, 2.35212149424253"
7,Platanus,x hispanica,18,"48.853228758325514, 2.3116899184850017"
13,Pyrus,calleryana,8,"48.83540075225598, 2.34871008871136"
13,Tilia,platyphyllos,6,"48.82938928923747, 2.383210372070102"
13,Celtis,australis,5,"48.83592746086859, 2.3590641165615294"
17,Fraxinus,ornus,7,"48.88507230118683, 2.2974480653281386"
15,Platanus,x hispanica,10,"48.84849302984099, 2.304955827999289"
17,Platanus,x hispanica,11,"48.87460957476041, 2.2943744467431224"
20,Platanus,x hispanica,18,"48.86493495001503, 2.410265862612137"
19,Parrotia,persica,0,"48.89537408460104, 2.376493263758085"
5,Gleditsia,triacanthos,7,"48.84632004486487, 2.3625381072525804"
12,Prunus,sp.,0,"48.821075938902545, 2.4541673765802745"
12,Ligustrum,japonicum,5,"48.833443808488255, 2.385942152023778"
11,Cedrus,atlantica,25,"48.86017093684448, 2.3842492884119575"
16,Magnolia,x soulangeana,5,"48.84561231913455, 2.2518897951972416"
17,Morus,alba,7,"48.88717122185554, 2.2882151166195293"
13,Aesculus,x carnea,10,"48.82112760419063, 2.3531733518212214"
8,Platanus,x hispanica,11,"48.87222810452369, 2.300707939274481"
8,Aesculus,hippocastanum,8,"48.86724443846374, 2.320158946570183"
12,Gleditsia,triacanthos,5,"48.84092775898526, 2.3849926056098627"
15,Corylus,avellana,6,"48.82859693394214, 2.298141239304568"
20,Acer,campestre,5,"48.8738854366044, 2.412422256776728"
16,Carpinus,betulus,5,"48.87544949999679, 2.277909159949231"
17,Aesculus,hippocastanum,11,"48.87719268562575, 2.2947632978817873"
19,Celtis,australis,13,"48.882903982848696, 2.3723926675795166"
20,Tilia,tomentosa,6,"48.86794076863146, 2.390357649816565"
18,Gleditsia,triacanthos f. Inermis,5,"48.899453850894496, 2.3296849287122314"
19,Tilia,x euchlora,15,"48.87294914913525, 2.3781523105098987"
15,Prunus,avium,9,"48.8311805777286, 2.300660699510817"
15,Fagus,sylvatica,11,"48.831039750103315, 2.2978369748939476"
14,Pinus,wallichiana,25,"48.82230165905786, 2.3351354203474"
5,Aesculus,hippocastanum,10,"48.85117368954739, 2.3433755451375737"
16,Quercus,ilex,7,"48.86561773143411, 2.297319881105957"
20,Catalpa,bignonioides,5,"48.87072080478692, 2.412770218334237"
15,Tilia,tomentosa,5,"48.85292265416854, 2.298001247192497"
16,Styphnolobium,japonicum,5,"48.873220848353164, 2.2940561168605718"
7,Tilia,tomentosa,15,"48.85903590561703, 2.314416297750927"
12,Carpinus,betulus,6,"48.83218463424581, 2.455307747415918"
16,Aesculus,hippocastanum,10,"48.86355626368023, 2.289312651243566"
15,Platanus,x hispanica,12,"48.847627438482306, 2.3109163673298454"
19,Betula,pendula,0,"48.894020442111824, 2.3843443366509223"
13,Abies,pinsapo,3,"48.826368500608716, 2.375246531574216"
4,Pyrus,communis,4,"48.856147374647826, 2.3561118843087043"
7,Platanus,x hispanica,8,"48.85695108501479, 2.3045032996816714"
7,Aesculus,x carnea,8,"48.85583740125061, 2.3015827183273405"
18,Cercis,siliquastrum,4,"48.88896312445042, 2.362703432922025"
20,Aria,edulis,6,"48.85819776979797, 2.4063652335663526"
13,Acer,x freemanii,5,"48.83236819792869, 2.3627368756093894"
19,Tilia,x euchlora,5,"48.8774962138947, 2.395217485999865"
19,Ulmus,minor,9,"48.87805390487449, 2.378571565718465"
16,Aesculus,hippocastanum,23,"48.8604032245911, 2.289110471568593"
18,Pyrus,salicifolia,3,"48.893718035784836, 2.3633686642993696"
19,Pinus,nigra,7,"48.88961911102407, 2.3988962262335933"
19,Celtis,australis,5,"48.88437280754714, 2.389558667906002"
7,Tilia,tomentosa,10,"48.855446932007006, 2.29435469533366"
16,Pyrus,communis,2,"48.84194025435679, 2.268134023031239"
14,Styphnolobium,japonicum,5,"48.84042436782673, 2.3264792423408855"
12,Aesculus,sylvatica,2,"48.820782882318255, 2.4551628523242273"
13,Ginkgo,biloba,10,"48.840111743087284, 2.3689327704581964"
20,Platanus,x hispanica,8,"48.857303205717855, 2.408367940902204"
11,Betula,pendula,12,"48.85581894522271, 2.3799084508676827"
15,Aesculus,hippocastanum,12,"48.842851577958925, 2.307217112963838"
12,Aesculus,hippocastanum,10,"48.832577749600645, 2.4064411545483724"
19,Aesculus,x carnea,10,"48.89568354894122, 2.378971056016885"
8,Platanus,x hispanica,6,"48.87045113136417, 2.323238825953851"
18,Aesculus,hippocastanum,17,"48.88939225074668, 2.337766418203088"
4,Platanus,x hispanica,15,"48.84935096331507, 2.361721608804475"
20,Tilia,tomentosa,5,"48.87369393127693, 2.4052678804409147"
16,Aesculus,hippocastanum,22,"48.85727846768641, 2.265729561300964"
16,Aesculus,hippocastanum,17,"48.85927820147947, 2.2686744637222205"
13,Betula,pendula,3,"48.83312132716569, 2.349293207089079"
17,Styphnolobium,japonicum,6,"48.88999095008933, 2.319276261495177"
17,Platanus,x hispanica,5,"48.885766978379706, 2.2993191923643725"
20,Acer,monspessulanum,5,"48.86740097020777, 2.4119036680229144"
12,Platanus,x hispanica,20,"48.83166416193222, 2.3852420823545124"
20,Euonymus,europaeus,3,"48.863221263957215, 2.390993385389689"
14,Liquidambar,styraciflua,10,"48.83644178507653, 2.3291668064894817"
20,Platanus,x hispanica,15,"48.85441113173592, 2.410604414856833"
7,Platanus,x hispanica,20,"48.85080082741553, 2.314575888851168"
19,Betula,pendula,0,"48.896143253346224, 2.377279171514356"
17,Prunus,Fleur n. sp.,5,"48.89198165745431, 2.3239691842382157"
12,Salix,babylonica,6,"48.843330542746, 2.4059738439789635"
16,Acer,pseudoplatanus,16,"48.84802752434124, 2.274167739416966"
20,Amelanchier,x lamarckii,6,"48.854375341749936, 2.4013630676409194"
15,Parrotia,persica,0,"48.84219730181708, 2.2733165336776247"
12,Tilia,platyphyllos,15,"48.83320901070718, 2.4077761534478572"
13,Taxus,baccata,6,"48.822087876639536, 2.3765188496113723"
7,Non spécifié,sp.,0,"48.85448069345386, 2.3130218755519807"
13,Platanus,occidentalis,15,"48.831799092770254, 2.342179236885678"
19,Platanus,x hispanica,6,"48.8914939772849, 2.398257617687303"
14,Prunus,x subhirtella,4,"48.82227044153738, 2.3392882589459414"
15,Platanus,x hispanica,0,"48.84015714663099, 2.2914222888077873"
9,Betula,nigra,18,"48.88132315928516, 2.3471749936172746"
7,Platanus,occidentalis,15,"48.85182871247339, 2.3102706966654942"
13,Platanus,x hispanica,12,"48.83436785103287, 2.366566678611932"
16,Aesculus,hippocastanum,14,"48.85890051008207, 2.2859610030151933"
11,Platanus,x hispanica,15,"48.86285165602872, 2.366945792359415"
12,Tilia,cordata,10,"48.8252501535622, 2.4566066581693122"
15,Corylus,colurna,8,"48.85283591811519, 2.290301026413648"
13,Aesculus,hippocastanum,10,"48.835531712826686, 2.3476384970006503"
16,Zanthoxylum,simulans,3,"48.868797020915245, 2.2731954730697628"
18,Styphnolobium,japonicum,7,"48.90052699334102, 2.359574058239519"
12,Castanea,sp.,7,"48.837236479683156, 2.4671392627350257"
19,Platanus,orientalis,22,"48.87653956598803, 2.375074470283543"
11,Tilia,tomentosa,10,"48.863957758457914, 2.3818428940530314"
8,Platanus,x hispanica,18,"48.86994836684664, 2.3062901530597477"
18,Styphnolobium,japonicum,5,"48.89578282226875, 2.3530242843381806"
12,Styphnolobium,japonicum,5,"48.83246660719578, 2.3977369860728515"
12,Aesculus,hippocastanum,10,"48.84779596087333, 2.3996891562574345"
19,Celtis,australis,12,"48.89160887428176, 2.378085744296257"
14,Platanus,x hispanica,5,"48.83666547246443, 2.3347252126744666"
14,Acer,negundo,7,"48.8237607942081, 2.3178898799837695"
20,Taxus,baccata,5,"48.85973731585741, 2.3970771101031443"
7,Platanus,x hispanica,15,"48.85356652622841, 2.3073691609645426"
18,Malus,domestica,1,"48.88649408459921, 2.361231238119547"
12,Platanus,x hispanica,5,"48.84406130966189, 2.4110956207549004"
20,Styphnolobium,japonicum,5,"48.86456296675011, 2.3858098256523985"
9,Acer,rubrum,3,"48.87785826617711, 2.331394368919118"
19,Platanus,x hispanica,5,"48.885814544583035, 2.3934610062543897"
11,Platanus,x hispanica,8,"48.85639747211912, 2.368484677062287"
16,Aesculus,hippocastanum,16,"48.85857848009236, 2.2679023430707557"
17,Aesculus,hippocastanum,15,"48.89771699007164, 2.3152518592091753"
12,Aesculus,hippocastanum,12,"48.83587166864302, 2.3852016721417795"
20,Liquidambar,styraciflua,8,"48.85090377823734, 2.413591947262731"
18,Platanus,x hispanica,9,"48.89491642992573, 2.3594887580013575"
17,Corylus,colurna,6,"48.88599722731333, 2.292709806657034"
18,Malus,tschonoskii,6,"48.888344924324, 2.351760427374803"
12,Quercus,sp.,6,"48.832839543424825, 2.4536925999843087"
14,Malus,domestica,1,"48.82790729668322, 2.3100747989617183"
13,Acer,sp.,8,"48.817599406090736, 2.3558968324484124"
9,Aesculus,x carnea,8,"48.88212921612919, 2.3447245613973244"
17,Toona,sinensis,8,"48.87945096170017, 2.2990269396628613"
11,Tilia,tomentosa,5,"48.8663337873379, 2.3693117326178"
12,Tilia,tomentosa,10,"48.848384182188795, 2.3676627412996907"
16,Aesculus,x carnea,8,"48.87288056825068, 2.2894505851165383"
20,Morus,alba,7,"48.870804478955336, 2.382757741190932"
18,Quercus,ilex,7,"48.90061371540855, 2.3369616212151993"
12,Aesculus,hippocastanum,10,"48.83462075199429, 2.4113664313956864"
15,Styphnolobium,japonicum,10,"48.84621535443825, 2.280495749999839"
17,Tilia,tomentosa,8,"48.87572991534716, 2.2946001391473674"
7,Platanus,x hispanica,15,"48.858580297453784, 2.298825427180366"
10,Styphnolobium,japonicum,10,"48.87044312098378, 2.349793406539875"
19,Populus,deltoides,6,"48.90157325879865, 2.379799234218528"
12,Corylus,colurna,5,"48.842334095406166, 2.4013861657587867"
17,Corylus,colurna,11,"48.885263869884426, 2.297233206116347"
13,Acer,platanoides,15,"48.82246221066491, 2.3516759714017086"
15,Platanus,x hispanica,7,"48.839149496806336, 2.278923448031663"
17,Platanus,x hispanica,17,"48.88075934115535, 2.311114778202876"
20,Pyrus,calleryana,6,"48.869686576332185, 2.400041347190483"
16,Platanus,x hispanica,7,"48.85596093870584, 2.2639138050096124"
13,Tilia,cordata,20,"48.82073409313916, 2.353703781826461"
19,Aesculus,hippocastanum,10,"48.87786751164107, 2.3782072320331236"
14,Aesculus,hippocastanum,11,"48.83775894737895, 2.3363684434334893"
7,Acer,platanoides,10,"48.85153034569896, 2.3069939327566895"
12,Quercus,robur,0,"48.83750595085597, 2.4458231847196186"
17,Carpinus,betulus,3,"48.89285665196452, 2.311399888573707"
14,Celtis,australis,7,"48.827646941561355, 2.310182473049403"
8,Aesculus,hippocastanum,24,"48.86446756806543, 2.3085059154897123"
14,Styphnolobium,japonicum,5,"48.83196591916502, 2.313385683050183"
18,Acer,campestre,7,"48.899797201447655, 2.3661822346634236"
17,Tilia,cordata,8,"48.89201800662196, 2.300903021521521"
20,Tilia,tomentosa,12,"48.867149655821706, 2.391041599171809"
12,Tilia,cordata,10,"48.82571191088077, 2.456103484752638"
5,Tilia,sp.,6,"48.83940743398503, 2.343123743840629"
19,Styphnolobium,japonicum,20,"48.88918806243187, 2.3745531024257573"
15,Pinus,pinea,0,"48.83894862278931, 2.318938217962208"
20,Fagus,sylvatica,10,"48.86277878625528, 2.3932063110075275"
15,Tilia,x euchlora,10,"48.85480731463957, 2.2950614107730503"
16,Styphnolobium,japonicum,12,"48.84108160970258, 2.25452157798588"
8,Aesculus,hippocastanum,13,"48.86460492656565, 2.307974251949184"
13,Pyrus,calleryana,10,"48.82548430144035, 2.3695259519000764"
17,Styphnolobium,japonicum,9,"48.88165446626367, 2.2908565662407963"
16,Aesculus,hippocastanum,8,"48.84791139211781, 2.2521383989174626"
12,Non spécifié,sp.,0,"48.837892033587025, 2.4061303270886913"
19,Aesculus,hippocastanum,10,"48.88069238734258, 2.390149204069876"
10,Betula,pendula,16,"48.87613793121235, 2.363025033295608"
15,Aesculus,hippocastanum,8,"48.83931536721992, 2.2982512261438743"
13,Corylus,colurna,12,"48.833741841377666, 2.3596352786723407"
8,Magnolia,sp.,9,"48.86790859552983, 2.316602658246385"
13,Gleditsia,triacanthos,12,"48.81566002944797, 2.361083285212039"
19,Celtis,australis,5,"48.89232831819657, 2.371708098744981"
17,Tilia,tomentosa,10,"48.891925793515725, 2.3006943788133682"
12,Castanea,sativa,5,"48.8392899388333, 2.4594991339223182"
12,Platanus,x hispanica,10,"48.84056731118916, 2.394722679033782"
8,Aesculus,hippocastanum,15,"48.8680430130073, 2.3103793462163074"
12,Tilia,cordata,8,"48.82566075529194, 2.456160332087654"
8,Aesculus,x carnea,5,"48.86866251246513, 2.312093872343261"
15,Acer,monspessulanum,5,"48.840481216323695, 2.3001844319322906"
15,Pyrus,calleryana,12,"48.83403336927145, 2.2719820928027676"
20,Alnus,glutinosa,20,"48.87049569480886, 2.412605202745447"
15,Malus,sp.,5,"48.84494114329181, 2.3009289238745825"
20,Tilia,tomentosa,12,"48.86909713043472, 2.4020189099016345"
4,Platanus,x hispanica,5,"48.85374237040745, 2.3564201602328563"
7,Platanus,x hispanica,10,"48.85477931740014, 2.309540991693423"
5,Platanus,x hispanica,12,"48.83913452315884, 2.3391995475035663"
13,Tilia,tomentosa,10,"48.82094208532026, 2.3719468432071893"
12,Aesculus,hippocastanum,10,"48.835064133517164, 2.420319098137003"
8,Aesculus,hippocastanum,8,"48.86500888511128, 2.3169386402704344"
16,Platanus,x hispanica,14,"48.84720123636377, 2.2684878611174883"
18,Taxus,baccata,8,"48.88462648944627, 2.344005567048735"
20,Cercis,siliquastrum,8,"48.86211061833294, 2.393515483011465"
12,Castanea,sp.,6,"48.83923084671943, 2.4597364583179995"
16,Prunus,x hillieri,5,"48.86912869426669, 2.2750724343027304"
12,Platanus,x hispanica,10,"48.83952721185198, 2.3982437615817815"
4,Fraxinus,excelsior,10,"48.849768362018935, 2.363884409740999"
12,Quercus,sp.,7,"48.83030096206776, 2.453375306517253"
12,Pyrus,communis,2,"48.84492368312236, 2.387104701073469"
13,Liriodendron,tulipifera,10,"48.8318434022651, 2.3585332623604502"
7,Populus,x canadensis,19,"48.86293352179062, 2.3080267599518347"
19,Platanus,orientalis,10,"48.87874786450536, 2.3742385369195182"
14,Pinus,nigra subsp. laricio,19,"48.82214771291499, 2.3386956792270253"
16,Staphylea,colchica,5,"48.86568494802392, 2.297382097711483"
12,Pinus,sp.,5,"48.83170505628903, 2.3987513470130537"
17,Pinus,nigra subsp. laricio,6,"48.89307574084397, 2.3121118026332237"
14,Toona,sinensis,8,"48.83492947909683, 2.330498681582546"
13,Celtis,australis,10,"48.83798462315698, 2.3600879999903146"
11,Platanus,x hispanica,20,"48.86772231036301, 2.367915923612933"
14,Styphnolobium,japonicum,5,"48.83174519750925, 2.314724770352941"
6,Quercus,rubra,12,"48.84649989811677, 2.3325285106043854"
7,Pterocarya,fraxinifolia,4,"48.85622783570479, 2.2996433589338747"
20,Styphnolobium,japonicum,12,"48.84944607398026, 2.414183396754463"
15,Tilia,x euchlora,0,"48.83919735186533, 2.2766756288424994"
20,Acer,platanoides,10,"48.85987054921055, 2.394065217062456"
10,Aesculus,hippocastanum,14,"48.874924184845774, 2.3718948654038816"
12,Pyrus,calleryana,6,"48.84895017105214, 2.386307114822613"
19,Ailanthus,altissima,6,"48.88082230713424, 2.3832288027992843"
19,Paulownia,tomentosa,15,"48.8847783353387, 2.3796009010433115"
19,Platanus,orientalis,15,"48.87888908144107, 2.3744227317529676"
12,Betula,utilis,10,"48.83317806567335, 2.3843106687274505"
11,Platanus,x hispanica,15,"48.85866094190354, 2.383874269817803"
19,Celtis,australis,5,"48.8843557459548, 2.3893830890089367"
10,Platanus,x hispanica,13,"48.87283109757467, 2.3644342482324086"
12,Tilia,platyphyllos,7,"48.8331357795033, 2.446322421360032"
12,Betula,pendula,0,"48.82239767609452, 2.457154270017294"
13,Quercus,ilex,3,"48.82149813248311, 2.3547921771654616"
16,Platanus,x hispanica,5,"48.8619645702358, 2.2927037142627245"
19,Malus,domestica,5,"48.873281006169016, 2.376999474241202"
18,Fagus,sylvatica,12,"48.900136429603435, 2.3310277965721524"
19,Prunus,cerasifera,6,"48.88336606150702, 2.393532065519902"
15,Tilia,x euchlora,7,"48.842848144739094, 2.284207133154917"
19,Platanus,x hispanica,16,"48.88783476544655, 2.389795856576324"
17,Tilia,cordata,16,"48.886518688709124, 2.317734171233323"
13,Toona,sinensis,12,"48.83945303976448, 2.360488458020101"
12,Tilia,cordata,15,"48.82727504686931, 2.4546825419443845"
12,Platanus,x hispanica,20,"48.83495861580933, 2.4355144021965613"
19,Platanus,x hispanica,5,"48.893155241399064, 2.3738814178853094"
15,Quercus,robur,8,"48.83042286861005, 2.3010606801901243"
4,Pinus,nigra,6,"48.853130013469155, 2.347919033441909"
15,Parrotia,persica,0,"48.842332309036166, 2.273993607596771"
14,Albizia,julibrissin,4,"48.8385390007892, 2.3272238871856312"
4,Pyrus,calleryana,6,"48.857697916165236, 2.3594372266561576"
19,Styphnolobium,japonicum,20,"48.88342520333438, 2.4002556255129317"
17,Celtis,australis,13,"48.89622895769782, 2.3134387009318"
3,Celtis,australis,12,"48.862855516661334, 2.35915481634457"
8,Aesculus,hippocastanum,13,"48.86730933386523, 2.307055125902645"
12,Cydonia,oblonga,0,"48.82188628669501, 2.4545597058474398"
11,Gleditsia,triacanthos,3,"48.86044303198261, 2.3739889036496273"
8,Aesculus,hippocastanum,11,"48.86483198832371, 2.3088106884555404"
11,Quercus,palustris,5,"48.862850616427416, 2.3826339616551895"
6,Aesculus,hippocastanum,10,"48.8410503497196, 2.3365202872555564"
18,Sorbus,intermedia,4,"48.88845356914972, 2.3667524554906674"
13,Tilia,tomentosa,7,"48.82003442596596, 2.3561525210548826"
18,Acer,negundo,8,"48.89904001820683, 2.362407636142656"
7,Tilia,tomentosa,13,"48.85985599354522, 2.314012162598391"
7,Tilia,tomentosa,12,"48.86029506074796, 2.312142199919852"
19,Platanus,x hispanica,8,"48.876600518184055, 2.374658719311223"
12,Magnolia,x soulangeana,6,"48.85076015703965, 2.3771382967939054"
13,Morus,alba,4,"48.82522329101831, 2.3764231051284357"
15,Aesculus,hippocastanum,12,"48.84172230891991, 2.3141746857174055"
5,Acer,platanoides,14,"48.839752903838026, 2.350385616885164"
15,Acer,pseudoplatanus,12,"48.84005370987743, 2.2856080611787153"
9,Platanus,x hispanica,15,"48.869698317317564, 2.3259993443846416"
5,Aesculus,x carnea,10,"48.84095735703255, 2.355413433869534"
17,Quercus,robur,5,"48.88196882009663, 2.2866234709743622"
20,Aesculus,x carnea,5,"48.84709692550628, 2.413423025693573"
11,Styphnolobium,japonicum,0,"48.85889648678289, 2.37161819579084"
18,Cupressus,sempervirens,7,"48.88915523560979, 2.338793353119802"
19,Platanus,x hispanica,15,"48.88687377183207, 2.3861291701154768"
8,Aesculus,hippocastanum,17,"48.869378351220426, 2.3152133171203215"
16,Prunus,avium,5,"48.865903948646825, 2.2725257859665007"
